stem,split
003771,train
006672,train
007261,train
000760,train
003779,train
001772,train
007509,train
002679,train
002305,train
009215,train
003625,train
004236,train
009005,train
005924,train
003093,train
007590,train
004736,train
004366,train
004056,train
004178,train
001287,train
008343,train
004623,train
002066,train
009099,train
005950,train
001547,train
007599,train
000313,train
008321,train
003916,train
005943,train
003162,train
002010,train
007296,train
004163,train
008426,train
004080,train
004026,train
002345,train
000324,train
002733,train
000704,train
005877,train
007875,train
001651,train
000585,train
004625,train
003939,train
001603,train
005581,train
005459,train
004165,train
007796,train
005112,train
006700,train
004531,train
009223,train
001241,train
005250,train
005045,train
000147,train
002263,train
005451,train
005346,train
004259,train
005360,train
001721,train
003229,train
008478,train
008262,train
003462,train
009136,train
001995,train
003286,train
003463,train
008498,train
007617,train
007675,train
006028,train
007190,train
008589,train
005136,train
004958,train
007093,train
003035,train
006293,train
006488,train
001185,train
000516,train
004749,train
001062,train
002919,train
001400,train
008487,train
008310,train
003002,train
005002,train
003205,train
005880,train
007142,train
005857,train
006401,train
004172,train
002059,train
005616,train
006296,train
008168,train
006602,train
005069,train
000526,train
000143,train
009709,train
004343,train
000709,train
000477,train
006080,train
002966,train
005471,train
003015,train
006742,train
006231,train
007457,train
008858,train
003327,train
006975,train
000640,train
001161,train
006378,train
006245,train
008493,train
000959,train
006383,train
004447,train
003640,train
000281,train
006944,train
009318,train
004423,train
007983,train
001243,train
003535,train
003422,train
004909,train
009247,train
006656,train
004025,train
006289,train
007896,train
004443,train
003859,train
004933,train
005034,train
002745,train
000361,train
009529,train
007871,train
007294,train
009474,train
007005,train
009804,train
005444,train
000169,train
000082,train
009696,train
000572,train
004908,train
003914,train
006190,train
007035,train
008076,train
007960,train
009472,train
009871,train
000383,train
004179,train
007591,train
002464,train
008999,train
007783,train
003206,train
003452,train
000418,train
002071,train
004037,train
004145,train
004630,train
007165,train
009961,train
005123,train
000574,train
008120,train
002668,train
006671,train
005018,train
008737,train
001534,train
003317,train
008068,train
008228,train
007475,train
006285,train
002738,train
005114,train
004238,train
001890,train
004108,train
008665,train
005833,train
004750,train
005865,train
007620,train
001394,train
009723,train
003285,train
002401,train
007924,train
003528,train
007098,train
001430,train
003574,train
007064,train
007225,train
008105,train
006346,train
008245,train
000955,train
007544,train
007224,train
008503,train
003399,train
004538,train
006606,train
006876,train
006090,train
006461,train
003341,train
006711,train
004927,train
000871,train
000004,train
003305,train
001142,train
003360,train
009679,train
007254,train
000007,train
008813,train
007926,train
006033,train
007918,train
009311,train
002971,train
004760,train
006574,train
009332,train
001553,train
004881,train
009108,train
009454,train
008069,train
001284,train
009277,train
007536,train
003736,train
005407,train
004860,train
000389,train
002394,train
002518,train
006585,train
001472,train
001001,train
002734,train
009877,train
009001,train
000913,train
005466,train
007384,train
002598,train
007637,train
009150,train
007124,train
001360,train
009468,train
008195,train
002781,train
002328,train
001672,train
007304,train
000835,train
009208,train
004684,train
009475,train
001728,train
006510,train
008799,train
002678,train
009613,train
001621,train
006219,train
001915,train
000343,train
000388,train
004273,train
004878,train
002303,train
007883,train
000227,train
001252,train
006485,train
008496,train
007716,train
005631,train
004620,train
009671,train
000405,train
004624,train
003186,train
004362,train
002602,train
006496,train
005879,train
004877,train
004283,train
002074,train
008789,train
001495,train
007909,train
004122,train
006084,train
000063,train
003079,train
006787,train
001177,train
001253,train
003311,train
000012,train
008746,train
000544,train
002161,train
005328,train
001903,train
005484,train
000276,train
002666,train
000735,train
003668,train
000198,train
004548,train
001870,train
004393,train
008315,train
007765,train
002435,train
006716,train
000766,train
000915,train
001038,train
000235,train
008100,train
000428,train
000070,train
001977,train
006276,train
004354,train
003127,train
001175,train
005578,train
007751,train
004426,train
000678,train
002542,train
008978,train
009762,train
007823,train
006493,train
004269,train
001460,train
005181,train
001028,train
007959,train
009371,train
001936,train
000802,train
006539,train
004260,train
004146,train
001634,train
004217,train
000557,train
004610,train
000930,train
007563,train
009894,train
005801,train
002559,train
007334,train
001677,train
002544,train
004297,train
008815,train
005982,train
000292,train
004302,train
004263,train
008420,train
006271,train
003762,train
001649,train
007310,train
002859,train
000966,train
006901,train
007703,train
004972,train
009558,train
002130,train
001549,train
001570,train
002393,train
001481,train
003358,train
006238,train
002756,train
004044,train
007686,train
006416,train
004464,train
002025,train
000847,train
003370,train
008134,train
007286,train
008931,train
003529,train
004207,train
001590,train
005271,train
009657,train
001417,train
005803,train
007678,train
001352,train
008319,train
007232,train
005436,train
005867,train
007850,train
003248,train
009104,train
004809,train
001757,train
000109,train
007598,train
005607,train
002193,train
008646,train
008001,train
000855,train
000899,train
006853,train
008583,train
002517,train
000364,train
002402,train
009486,train
007031,train
007747,train
005504,train
007821,train
001183,train
001309,train
004798,train
004008,train
007928,train
002893,train
000509,train
001136,train
001854,train
009554,train
007766,train
002982,train
002488,train
008217,train
009750,train
002773,train
002729,train
003128,train
003066,train
002005,train
002999,train
009860,train
000860,train
004084,train
004266,train
005243,train
005356,train
000457,train
003567,train
006247,train
001589,train
003865,train
007197,train
005653,train
000666,train
002092,train
009775,train
004076,train
000917,train
003513,train
009414,train
001914,train
003747,train
009831,train
009667,train
005480,train
003379,train
006463,train
004321,train
005102,train
001639,train
004275,train
006718,train
000768,train
002469,train
002789,train
007595,train
006359,train
007588,train
006047,train
003822,train
004903,train
009949,train
008552,train
002889,train
003081,train
000682,train
003053,train
004998,train
003188,train
000797,train
001690,train
004495,train
003095,train
003784,train
000687,train
000918,train
006121,train
009376,train
006954,train
000286,train
002213,train
008075,train
008244,train
008439,train
009046,train
002446,train
009735,train
004418,train
006030,train
007076,train
002539,train
003276,train
008917,train
005125,train
005011,train
000411,train
005320,train
003047,train
009943,train
004907,train
003512,train
007790,train
008471,train
000453,train
003720,train
000615,train
005301,train
000469,train
006857,train
001505,train
005475,train
003336,train
008945,train
006262,train
005791,train
002740,train
009720,train
007200,train
007125,train
004882,train
006922,train
009730,train
008389,train
000517,train
007949,train
001157,train
002604,train
005141,train
007082,train
002731,train
006765,train
009406,train
009623,train
004964,train
008826,train
004409,train
005341,train
002688,train
001021,train
003506,train
007094,train
004079,train
000680,train
009316,train
003316,train
008241,train
009862,train
003493,train
001073,train
004580,train
002839,train
005066,train
002960,train
001295,train
004582,train
002106,train
003561,train
000051,train
005132,train
006564,train
000527,train
003713,train
003117,train
007695,train
006830,train
001596,train
005492,train
005048,train
003401,train
006153,train
001072,train
003096,train
002407,train
000632,train
007307,train
004289,train
009118,train
004330,train
000032,train
008365,train
002829,train
003597,train
006101,train
003451,train
007631,train
000809,train
001550,train
001712,train
007715,train
009651,train
008324,train
006112,train
002375,train
005506,train
000503,train
001520,train
008144,train
009259,train
003293,train
005996,train
002396,train
002054,train
007725,train
000212,train
004883,train
002787,train
008299,train
003769,train
000668,train
006088,train
003836,train
009965,train
006705,train
001516,train
007121,train
003481,train
009353,train
005744,train
001510,train
007445,train
007023,train
000448,train
002739,train
009899,train
009422,train
007556,train
005668,train
004229,train
004091,train
005784,train
003397,train
000661,train
007834,train
003808,train
007530,train
009360,train
003487,train
003936,train
000914,train
002998,train
006582,train
003177,train
003436,train
004055,train
000019,train
004626,train
003004,train
008021,train
009557,train
008132,train
004817,train
007626,train
001659,train
002079,train
007662,train
003222,train
000037,train
001710,train
001909,train
008293,train
004310,train
009818,train
003055,train
005160,train
003570,train
004968,train
000105,train
001027,train
008157,train
009212,train
004967,train
007726,train
001581,train
005162,train
003992,train
002869,train
003156,train
002246,train
005340,train
002491,train
008735,train
006386,train
008722,train
000170,train
000806,train
009919,train
003197,train
006635,train
007824,train
000896,train
006160,train
001738,train
007849,train
003418,train
009313,train
004034,train
003877,train
002081,train
000148,train
004512,train
001447,train
002321,train
009555,train
000192,train
002309,train
003783,train
002775,train
001537,train
005201,train
004900,train
004556,train
000089,train
002674,train
008243,train
005816,train
003797,train
000813,train
008162,train
006899,train
005118,train
006456,train
005389,train
004314,train
008208,train
002581,train
005853,train
009565,train
003965,train
003829,train
004166,train
004124,train
005156,train
006743,train
001967,train
002478,train
004024,train
000988,train
002354,train
000547,train
002297,train
001005,train
005282,train
008093,train
008235,train
009660,train
000080,train
004301,train
000983,train
002242,train
009205,train
005202,train
004101,train
004912,train
007468,train
009878,train
003014,train
004761,train
001733,train
007479,train
004107,train
004281,train
005073,train
009665,train
002643,train
003198,train
002400,train
008468,train
008648,train
000473,train
006727,train
000758,train
000116,train
007476,train
005402,train
004202,train
008210,train
004838,train
000260,train
000363,train
002169,train
005307,train
006151,train
002743,train
000676,train
007130,train
005501,train
003028,train
008209,train
003477,train
000110,train
004143,train
